Macbeth,R,113 min,"Drama, War",12/11/15,Justin Kurzel,"Jacob Koskoff (screenplay), Michael Lesslie (screenplay), Todd Louiso (screenplay), William Shakespeare (play)","Jack Madigan, Frank Madigan, Michael Fassbender, Marion Cotillard",http://ia.media-imdb.com/images/M/MV5BMjA5NjgyMzY1NV5BMl5BanBnXkFtZTgwOTk3NTY2NjE@._V1_SX300.jpg,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself."
Don Verdean,PG-13,90 min,Comedy,12/11/15,Jared Hess,"Jared Hess, Jerusha Hess","Sam Rockwell, Amy Ryan, Will Forte, Danny McBride",http://ia.media-imdb.com/images/M/MV5BMTAzODQyMjM3NTleQTJeQWpwZ15BbWU4MDc2NDY5MDcx._V1_SX300.jpg,A self-professed biblical archaeologist who has fallen on hard times starts to bend the truth in order to continue inspiring the faithful.
By the Sea,R,122 min,"Drama, Romance",12/9/15,Angelina Jolie,Angelina Jolie,"Brad Pitt, Angelina Jolie, Mélanie Laurent, Melvil Poupaud",http://ia.media-imdb.com/images/M/MV5BMTUyNDU2MDMxM15BMl5BanBnXkFtZTgwMzAzMTk1NjE@._V1_SX300.jpg,"Set in France during the mid-1970s, Vanessa, a former dancer, and her husband Roland, an American writer, travel the country together. They seem to be growing apart, but when they linger in..."
The Letters,PG,114 min,Drama,12/4/15,William Riead,William Riead,"Juliet Stevenson, Rutger Hauer, Max von Sydow, Priya Darshini",http://ia.media-imdb.com/images/M/MV5BMTYyMzg0Njg5MV5BMl5BanBnXkFtZTgwOTQ3MTkwNjE@._V1_SX300.jpg,"A drama that explores the life of Mother Teresa through letters she wrote to her longtime friend and spiritual advisor, Father Celeste van Exem over a nearly 50-year period."
Life,R,111 min,"Biography, Drama",12/4/15,Anton Corbijn,Luke Davies (screenplay),"Robert Pattinson, Peter Lucas, Lauren Gallagher, Kendal Rae",http://ia.media-imdb.com/images/M/MV5BMTA3Mzc5Nzk0ODReQTJeQWpwZ15BbWU4MDA2ODQxMTcx._V1_SX300.jpg,A photographer for Life Magazine is assigned to shoot pictures of James Dean.
The Wannabe,R,90 min,"Crime, Drama, Mystery",12/4/15,Nick Sandow,Nick Sandow,"Patricia Arquette, Michael Imperioli, David Zayas, Vincent Piazza",http://ia.media-imdb.com/images/M/MV5BMjE0MTI3MzYwNl5BMl5BanBnXkFtZTgwMzQ3MDAyNzE@._V1_SX300.jpg,"Obsessed with mob culture, and desperate to fit in, Thomas sets out to fix the 1992 trial of John Gotti. He believes if the plan is executed, it will put him at the center of all that he ..."
Christmas Eve,PG,95 min,Comedy,12/4/15,Mitch Davis,"Mitch Davis, Tyler McKellar","Margaret Clunie, Patrick Stewart, Gary Cole, Roxanne Cook",http://ia.media-imdb.com/images/M/MV5BMTY0MjEyMzQ1Nl5BMl5BanBnXkFtZTgwMTEwMjkxNzE@._V1_SX300.jpg,"Hilarity, romance, and transcendence prevail after a power outage traps six different groups of New Yorkers inside elevators on Christmas Eve."
Hitchcock/Truffaut,PG-13,79 min,Documentary,12/4/15,Kent Jones,"Kent Jones, Serge Toubiana","Mathieu Amalric, Wes Anderson, Olivier Assayas, Peter Bogdanovich",http://ia.media-imdb.com/images/M/MV5BMTU1MDcxODk2OV5BMl5BanBnXkFtZTgwNzA5Nzc2NTE@._V1_SX300.jpg,"Filmmakers discuss how Francois Truffaut's 1966 book ""Cinema According to Hitchcock"" influenced their work."
Krampus,PG-13,98 min,"Comedy, Fantasy, Horror",12/4/15,Michael Dougherty,"Todd Casey, Michael Dougherty, Zach Shields","Adam Scott, Toni Collette, David Koechner, Allison Tolman",http://ia.media-imdb.com/images/M/MV5BMjk0MjMzMTI3NV5BMl5BanBnXkFtZTgwODEyODkxNzE@._V1_SX300.jpg,A boy who has a bad Christmas ends up accidentally summoning a Christmas demon to his family home.
Mojave,R,93 min,Thriller,12/3/15,William Monahan,William Monahan (screenplay),"Oscar Isaac, Mark Wahlberg, Garrett Hedlund, Walton Goggins",http://ia.media-imdb.com/images/M/MV5BMjM1OTE1OTUwN15BMl5BanBnXkFtZTgwMjA3NTkzNzE@._V1_SX300.jpg,"A suicidal artist goes into the desert, where he finds his doppelgänger, a homicidal drifter."
600 Miles,R,85 min,"Drama, Thriller",12/3/15,Gabriel Ripstein,"Gabriel Ripstein, Issa López","Tim Roth, Kristyan Ferrer, Mónica Del Carmen, Craig Hensley",http://ia.media-imdb.com/images/M/MV5BMjEzNTgxMDQ0NF5BMl5BanBnXkFtZTgwNzM2NzkyNzE@._V1_SX300.jpg,"Arnulfo Rubio smuggles weapons for a deadly Mexican cartel. ATF agent Hank Harris attempts to apprehend him, but gets kidnapped by Rubio, instead. Rubio takes him to his bosses, but during the 600-miles-long drive, they slowly befriend."
Spotlight,R,128 min,"Biography, Drama, History",11/25/15,Tom McCarthy,"Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",http://ia.media-imdb.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_SX300.jpg,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
Victor Frankenstein,PG-13,110 min,"Drama, Horror, Sci-Fi",11/25/15,Paul McGuigan,"Max Landis (screenplay), Max Landis (screen story), Mary Shelley (novel)","Daniel Radcliffe, Jessica Brown Findlay, Bronson Webb, James McAvoy",http://ia.media-imdb.com/images/M/MV5BMTc2Mjk0MTM0NF5BMl5BanBnXkFtZTgwNjgyOTg1NjE@._V1_SX300.jpg,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today."
The Good Dinosaur,PG,93 min,"Animation, Adventure, Comedy",11/25/15,Peter Sohn,"Bob Peterson (original concept and development), Peter Sohn (story), Erik Benson (story), Meg LeFauve (story), Kelsey Mann (story), Bob Peterson (story), Meg LeFauve (screenplay)","Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple",http://ia.media-imdb.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_SX300.jpg,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend."
Creed,PG-13,133 min,"Drama, Sport",11/25/15,Ryan Coogler,"Ryan Coogler (screenplay), Aaron Covington (screenplay), Ryan Coogler (story), Sylvester Stallone (characters)","Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",http://ia.media-imdb.com/images/M/MV5BODg5NDM1MDI4NF5BMl5BanBnXkFtZTgwMzg0MzQxNzE@._V1_SX300.jpg,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
Trumbo,R,124 min,"Biography, Drama",11/25/15,Jay Roach,"John McNamara, Bruce Cook (book)","Bryan Cranston, Michael Stuhlbarg, David Maldonado, John Getz",http://ia.media-imdb.com/images/M/MV5BMjM1MDc2OTQ3NV5BMl5BanBnXkFtZTgwNzQ0NjQ1NjE@._V1_SX300.jpg,"In 1947, Dalton Trumbo was Hollywood's top screenwriter, until he and other artists were jailed and blacklisted for their political beliefs."
The Little Engine That Could,G,83 min,"Animation, Family",11/21/15,Elliot M. Bour,"David Koepp (screenplay), John Kamps (screenplay), Cliff Ruby (screenplay), Elana Lesser (screenplay), David Koepp (screen story), John Kamps (screen story), Watty Piper (book)","Jodi Benson, Corbin Bleu, Jamie Lee Curtis, Whoopi Goldberg",http://ia.media-imdb.com/images/M/MV5BMTQyOTc4NzYwOF5BMl5BanBnXkFtZTcwNTI1MjM5Nw@@._V1_SX300.jpg,"Featuring an all-star cast, the timeless story comes to life in this all-new, feature-length film filled with fun and adventure!"
Secret in Their Eyes,PG-13,111 min,"Mystery, Thriller",11/20/15,Billy Ray,"Billy Ray (screenplay), Juan José Campanella (film ""El secreto de sus ojos""), Eduardo Sacheri (film ""El secreto de sus ojos"")","Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris",http://ia.media-imdb.com/images/M/MV5BMjE0ODU1NDE0Ml5BMl5BanBnXkFtZTgwNzc4Njc3NjE@._V1_SX300.jpg,"A tight-knit team of rising investigators, along with their supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered."
The Hunger Games: Mockingjay - Part 2,PG-13,137 min,"Adventure, Sci-Fi",11/20/15,Francis Lawrence,"Peter Craig (screenplay), Danny Strong (screenplay), Suzanne Collins (adaptation), Suzanne Collins (novel)","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",http://ia.media-imdb.com/images/M/MV5BNjQzNDI2NTU1Ml5BMl5BanBnXkFtZTgwNTAyMDQ5NjE@._V1_SX300.jpg,"As the war of Panem escalates to the destruction of other districts, Katniss Everdeen, the reluctant leader of the rebellion, must bring together an army against President Snow, while all she holds dear hangs in the balance."
Carol,R,118 min,"Drama, Romance",11/20/15,Todd Haynes,"Phyllis Nagy (screenplay), Patricia Highsmith (novel)","Cate Blanchett, Rooney Mara, Kyle Chandler, Jake Lacy",http://ia.media-imdb.com/images/M/MV5BMTcxNTkxMzA5OV5BMl5BanBnXkFtZTgwNTI0ODMzNzE@._V1_SX300.jpg,"In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman."
The Night Before,R,101 min,Comedy,11/20/15,Jonathan Levine,"Jonathan Levine (screenplay), Kyle Hunter (screenplay), Ariel Shaffir (screenplay), Evan Goldberg (screenplay), Jonathan Levine (story)","Joseph Gordon-Levitt, Seth Rogen, Anthony Mackie, Jillian Bell",http://ia.media-imdb.com/images/M/MV5BMTkyNDY1ODQwNV5BMl5BanBnXkFtZTgwNzA2MjUwNzE@._V1_SX300.jpg,"On Christmas eve, three lifelong friends, two of whom are Jewish, spend the night in New York City looking for the Holy Grail of Christmas parties."
A Horse Tale,G,85 min,Family,11/17/15,Brad Keller,Lori Twichell,"Charisma Carpenter, Patrick Muldoon, Dominique Swain, Mandalynn Carlson",http://ia.media-imdb.com/images/M/MV5BNjgwNDU3NTkwNF5BMl5BanBnXkFtZTgwOTkyNzAxNzE@._V1_SX300.jpg,"Uptight city accountant Michael Thompson is hired to help a family save their stable before the bank shuts them down. Michael reluctantly agrees, but as he searches for ways to save a family's legacy, he finds something he never expected."
The 33,PG-13,127 min,"Biography, Drama, History",11/13/15,Patricia Riggen,"Mikko Alanne (screenplay), Craig Borten (screenplay), Michael Thomas (screenplay), Jose Rivera (screen story), Hector Tobar (book)","Antonio Banderas, Rodrigo Santoro, Juliette Binoche, James Brolin",http://ia.media-imdb.com/images/M/MV5BMTkyNDY3NDc5NF5BMl5BanBnXkFtZTgwMzI1NDM1NjE@._V1_SX300.jpg,"Based on the real-life event, when a gold and copper mine collapses, it traps 33 miners underground for 69 days."
Love the Coopers,PG-13,107 min,Comedy,11/13/15,Jessie Nelson,Steven Rogers (screenplay),"Diane Keaton, John Goodman, Ed Helms, Alex Borstein",http://ia.media-imdb.com/images/M/MV5BMjE4NTkyODk4NF5BMl5BanBnXkFtZTgwNjY0NzkxNzE@._V1_SX300.jpg,"When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday."
Salvation Street,PG,86 min,Family,11/13/15,Ralph E. Portillo,"Rick Joseph, Israel Matos, Israel Matos","Joe Pacheco, Catherine Lidstone, Israel Matos, Olivia Rose Keegan",http://ia.media-imdb.com/images/M/MV5BMTgyMjc5NTQyM15BMl5BanBnXkFtZTgwNDc0MDQ0MzE@._V1_SX300.jpg,"One day, one moment, one idea can change lives. Noah Davis is a Pastor in an affluent community. Depressed after losing his wife to illness, he is contacted by an old friend who has opened ..."
Heist,R,93 min,"Action, Crime, Thriller",11/13/15,Scott Mann,"Stephen Cyrus Sepher (original screenplay by), Stephen Cyrus Sepher (story), Max Adams (screenplay)","Summer Altice, Gina Carano, Robert De Niro, Jeffrey Dean Morgan",http://ia.media-imdb.com/images/M/MV5BMjEzNTkyMDE3NV5BMl5BanBnXkFtZTgwMTM2MDY4NjE@._V1_SX300.jpg,"A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus."
Entertainment,R,103 min,Drama,11/13/15,Rick Alverson,"Rick Alverson, Rick Alverson, Tim Heidecker, Gregg Turkington, Gregg Turkington","Gregg Turkington, Annabella Lwin, Tye Sheridan, John C. Reilly",http://ia.media-imdb.com/images/M/MV5BMTA5OTEyMTQwODFeQTJeQWpwZ15BbWU4MDA0MzMyNDYx._V1_SX300.jpg,"En route to meet his estranged daughter and attempting to revive his dwindling career, a broken, middle-aged comedian plays a string of dead-end shows in the Mojave desert."
My All American,PG,118 min,"Biography, Drama, Sport",11/13/15,Angelo Pizzo,"Angelo Pizzo, Jim Dent (book)","Finn Wittrock, Sarah Bolger, Robin Tunney, Aaron Eckhart",http://ia.media-imdb.com/images/M/MV5BMTU3ODA0MjI0Ml5BMl5BanBnXkFtZTgwNTUwNDQxNjE@._V1_SX300.jpg,"Freddie Steinmark, an underdog on the gridiron, faces the toughest challenge of his life after leading his team to a championship season."
James White,R,85 min,Drama,11/13/15,Josh Mond,Josh Mond,"Christopher Abbott, Cynthia Nixon, Scott Mescudi, Ron Livingston",http://ia.media-imdb.com/images/M/MV5BMjE4MzU2NjEwN15BMl5BanBnXkFtZTgwNDQyMDE3NjE@._V1_SX300.jpg,"James, a twenty-something New Yorker, struggles to take control of his self-destructive behavior in the face of momentous family challenges."
The End of the Tour,R,106 min,Drama,11/12/15,James Ponsoldt,"Donald Margulies (screenplay), David Lipsky (book)","Anna Chlumsky, Jesse Eisenberg, Jason Segel, Mamie Gummer",http://ia.media-imdb.com/images/M/MV5BMTUwODU3NjQxNF5BMl5BanBnXkFtZTgwODE2NTE4NTE@._V1_SX300.jpg,"The story of the five-day interview between Rolling Stone reporter David Lipsky and acclaimed novelist David Foster Wallace, which took place right after the 1996 publication of Wallace's groundbreaking epic novel, 'Infinite Jest.'"
10 Days in a Madhouse,R,111 min,Drama,11/11/15,Timothy Hines,Timothy Hines,"Caroline Barry, Christopher Lambert, Kelly LeBrock, Julia Chantrey",http://ia.media-imdb.com/images/M/MV5BOTI3MDU4ODc2OF5BMl5BanBnXkFtZTgwNzYwMjY1NjE@._V1_SX300.jpg,"In 1887, at age 23, reporter Nellie Bly, working for Joseph Pulitzer, feigns mental illness to go undercover in notorious Blackwell's Island a woman's insane asylum to expose corruption, abuse and murder."
Rock 'n' Roll Frankenstein,R,88 min,"Comedy, Horror",11/10/15,Brian O'Hara,"Brian O'Hara (story), Vito Cannella (story), John Klann (story), Brian O'Hara (screenplay)","Graig Guggenheim, Jayson Spence, Barry Feterman, Hiram Jacob Segarra",http://ia.media-imdb.com/images/M/MV5BMzIxMTExNTUyMF5BMl5BanBnXkFtZTcwMTM2MzMyMQ@@._V1_SX300.jpg,"Music agent Bernie Stein, his scientist nephew Frankie, and a drugged out roadie named Iggy team to create a superstar by putting together the remains of dead rockers. All goes according to..."
Spectre,PG-13,148 min,"Action, Adventure, Thriller",11/6/15,Sam Mendes,"John Logan (screenplay), Neal Purvis (screenplay), Robert Wade (screenplay), Jez Butterworth (screenplay), John Logan (story), Neal Purvis (story), Robert Wade (story), Ian Fleming (characters)","Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",http://ia.media-imdb.com/images/M/MV5BMjM2Nzg4MzkwOF5BMl5BanBnXkFtZTgwNzA0OTE3NjE@._V1_SX300.jpg,"A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE."
The Peanuts Movie,G,88 min,"Animation, Adventure, Comedy",11/6/15,Steve Martino,"Bryan Schulz, Craig Schulz, Cornelius Uliano, Charles M. Schulz (comic strip)","Trombone Shorty, Rebecca Bloom, Anastasia Bredikhina, Francesca Capaldi",http://ia.media-imdb.com/images/M/MV5BMTU1MzAxOTY2MV5BMl5BanBnXkFtZTgwNzYzMzM5NTE@._V1_SX300.jpg,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life."
The Man in 3B,R,93 min,Mystery,11/6/15,Trey Haley,Carl Weber,"Lamman Rucker, Christian Keyes, Brely Evans, D.B. Woodside",http://ia.media-imdb.com/images/M/MV5BMTUxODIyNjc0MV5BMl5BanBnXkFtZTgwODk4NjE2NDE@._V1_SX300.jpg,"Daryl Graham (Lamman Rucker) has just moved into a Jamaica, Queens, apartment building and his neighbors, both male and female alike, can't stop talking about him. From his extreme ..."
I Smile Back,R,85 min,Drama,11/6/15,Adam Salky,"Paige Dylan, Paige Dylan, Amy Koppelman, Amy Koppelman","Josh Charles, Skylar Gaertner, Shayne Coleman, Sarah Silverman",http://ia.media-imdb.com/images/M/MV5BMTk0NDQ3MzgxOF5BMl5BanBnXkFtZTgwMDAzMjExNzE@._V1_SX300.jpg,"Laney Brooks does bad things. Married with kids, she takes the drugs she wants, sleeps with the men she wants, disappears when she wants. Now, with the destruction of her family looming, ..."
The Condemned 2,R,90 min,"Action, Thriller",11/6/15,Roel Reiné,Alan B. McElroy,"Randy Orton, Eric Roberts, Wes Studi, Steven Michael Quezada",http://ia.media-imdb.com/images/M/MV5BMTQ3MDg2Mzc0MF5BMl5BanBnXkFtZTgwODk0ODM5NjE@._V1_SX300.jpg,"A former bounty hunter who finds himself on the run as part of a revamped Condemned tournament, in which convicts are forced to fight each other to the death as part of a game that's broadcast to the public."
Freeheld,PG-13,103 min,"Biography, Drama, Romance",11/5/15,Peter Sollett,Ron Nyswaner (screenplay),"Steve Carell, Julianne Moore, Michael Shannon, Ellen Page",http://ia.media-imdb.com/images/M/MV5BMzM5NTg3NjU1MV5BMl5BanBnXkFtZTgwNzAwMjA3NjE@._V1_SX300.jpg,"New Jersey police lieutenant, Laurel Hester, and her registered domestic partner, Stacie Andree, both battle to secure Hester's pension benefits when she is diagnosed with terminal cancer."
The Do-Deca-Pentathlon,R,76 min,Comedy,10/31/15,"Jay Duplass, Mark Duplass","Jay Duplass, Mark Duplass","Mark Kelly, Steve Zissis, Jennifer Lafleur, Julie Vorus",http://ia.media-imdb.com/images/M/MV5BMTQ5MjE3NTU0MF5BMl5BanBnXkFtZTcwNjczMjk2Nw@@._V1_SX300.jpg,Two brothers compete in their own private 25-event Olympics.
Our Brand Is Crisis,R,107 min,"Comedy, Drama",10/30/15,David Gordon Green,"Peter Straughan (screenplay), Rachel Boynton (documentary)","Sandra Bullock, Billy Bob Thornton, Anthony Mackie, Joaquim de Almeida",http://ia.media-imdb.com/images/M/MV5BMTg5MDUwMDQwM15BMl5BanBnXkFtZTgwNTczMjU3NjE@._V1_SX300.jpg,"A battle-hardened American political consultant is sent to help re-elect a controversial president in Bolivia, where she must compete with a long-term rival working for another candidate."
Scouts Guide to the Zombie Apocalypse,R,93 min,"Comedy, Horror",10/30/15,Christopher Landon,"Carrie Lee Wilson (screenplay), Emi Mochizuki (screenplay), Christopher Landon (screenplay), Lona Williams (story)","Tye Sheridan, Logan Miller, Joey Morgan, Sarah Dumont",http://ia.media-imdb.com/images/M/MV5BMTY4NjczNjE4OV5BMl5BanBnXkFtZTgwODk0MjQ5NjE@._V1_SX300.jpg,"Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak."
Freaks of Nature,R,92 min,"Comedy, Horror",10/30/15,Robbie Pickering,Oren Uziel (screenplay),"Nicholas Braun, Mackenzie Davis, Josh Fadem, Denis Leary",http://ia.media-imdb.com/images/M/MV5BMTk2MTMyMTEzN15BMl5BanBnXkFtZTgwNTE0MDYwNzE@._V1_SX300.jpg,"In the town of Dillford, humans, vampires and zombies were all living in peace - until the alien apocalypse arrived. Now three teenagers-one human, one vampire, and one zombie-have to team up to figure out how to get rid of the visitors."
Burnt,R,101 min,"Comedy, Drama",10/30/15,John Wells,"Steven Knight (screenplay), Michael Kalesniko (story)","Bradley Cooper, Sienna Miller, Daniel Brühl, Riccardo Scamarcio",http://ia.media-imdb.com/images/M/MV5BNjEzNTk2OTEwNF5BMl5BanBnXkFtZTgwNzExMTg0NjE@._V1_SX300.jpg,"Adam Jones (Bradley Cooper) is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars."
Dancin' It's On,PG,89 min,"Family, Musical",10/30/15,David Winters,"David A. Prior, David A. Prior, David Winters, David Winters","Gary Daniels, Jordan Clark, Ava Fabian, David Winters",http://ia.media-imdb.com/images/M/MV5BMTgzNDE2MjYxOF5BMl5BanBnXkFtZTgwMzY2NDAyNzE@._V1_SX300.jpg,"This coming of age Dance Film, in the spirit of Dirty Dancing, Karate Kid, and High School Musical - is about a young girl from Beverly Hills, Jennifer who is visiting her Father's Panama ..."
